strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
KJ501478	2003-08-14	USA	KS	KS	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501481	2002-09-04	USA	MI	MI	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501482	2002-07-17	USA	NE	NE	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501483	2002-07-30	USA	NE	NE	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501484	2002-08-30	USA	NE	NE	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501487	2005-09-02	USA	NC	NC	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501489	2002-07-30	USA	VA	VA	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501490	2002-08-06	USA	VA	VA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501491	2002-08-13	USA	VA	VA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501492	2005-08-12	USA	WI	WI	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501495	2002-08-13	USA	DC	DC/District_of_Columbia	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501497	2001-10-17	USA	IL	IL	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501498	2003-08-22	USA	MD	MD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501501	2002-08-16	USA	MO	MO	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501502	2002-09-04	USA	MT	MT	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501503	2002-07-25	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
